n,i-name,i-class,occ,sub
zwiebel,Zwiebel,onion,1,A
knoblauch,Knoblauch,onion,1,A
kapern,Kapern,spice,1,A
tonkabohne,Tonkabohne,spice,1,A
tomate,Tomate,veg,1,A
thymian,Thymian,herb,1,A
karotte,Karotte,veg,1,A
tomatenmark,Tomatenmark,condi,1,A
rosmarin,Rosmarin,herb,1,A
nudeln,Nudeln,carb,1,A
olivenöl,Olivenöl,fat,1,A
