n1,n2,id,weight,sub
weißbrot,gurke,gurke--weißbrot,1,A
weißbrot,ei,ei--weißbrot,7,A
weißbrot,butter,butter--weißbrot,11,A
weißbrot,kartoffel,kartoffel--weißbrot,3,A
weißbrot,muskat,muskat--weißbrot,8,A
weißbrot,sultaninen,sultaninen--weißbrot,1,A
weißbrot,zitrone,weißbrot--zitrone,4,A
weißbrot,knollensellerie,knollensellerie--weißbrot,1,A
weißbrot,zucker,weißbrot--zucker,1,A
weißbrot,spinat,spinat--weißbrot,1,A
weißbrot,kohlrabi,kohlrabi--weißbrot,1,A
weißbrot,blumenkohl,blumenkohl--weißbrot,1,A
weißbrot,spargel,spargel--weißbrot,2,A
weißbrot,pfeffer,pfeffer--weißbrot,1,A
weißbrot,milch,milch--weißbrot,3,A
weißbrot,weizenmehl,weißbrot--weizenmehl,3,A
weißbrot,zwiebel,weißbrot--zwiebel,3,A
weißbrot,essig,essig--weißbrot,1,A
zitrone,wein,wein--zitrone,2,A
zitrone,krebs,krebs--zitrone,2,A
zitrone,weißkohl,weißkohl--zitrone,1,A
zitrone,stubenküken,stubenküken--zitrone,1,A
zitrone,kalbfleisch,kalbfleisch--zitrone,2,A
zitrone,rindfleisch,rindfleisch--zitrone,2,A
zitrone,fleischbrühe,fleischbrühe--zitrone,7,A
zitrone,zwieback,zitrone--zwieback,4,A
zitrone,endivien,endivien--zitrone,1,A
zitrone,nierenfett,nierenfett--zitrone,4,A
zitrone,taube,taube--zitrone,1,A
wein,stärke,stärke--wein,2,A
wein,knollensellerie,knollensellerie--wein,1,A
wein,kohlrabi,kohlrabi--wein,1,A
wein,ei,ei--wein,2,A
wein,butter,butter--wein,3,A
wein,apfel,apfel--wein,1,A
wein,muskat,muskat--wein,2,A
wein,essig,essig--wein,1,A
knollensellerie,kalbfleisch,kalbfleisch--knollensellerie,1,A
knollensellerie,fleischbrühe,fleischbrühe--knollensellerie,2,A
knollensellerie,nierenfett,knollensellerie--nierenfett,1,A
knollensellerie,bratenjus,bratenjus--knollensellerie,1,A
kohlrabi,krebs,kohlrabi--krebs,1,A
kohlrabi,kalbfleisch,kalbfleisch--kohlrabi,1,A
kohlrabi,fleischbrühe,fleischbrühe--kohlrabi,2,A
kohlrabi,nierenfett,kohlrabi--nierenfett,1,A
zimt,krebs,krebs--zimt,1,A
birne,grüne_bohnen,birne--grüne_bohnen,1,A
birne,pfeffer,birne--pfeffer,1,A
birne,butter,birne--butter,1,A
birne,karotte,birne--karotte,1,A
birne,weizenmehl,birne--weizenmehl,1,A
birne,apfel,apfel--birne,1,A
birne,kartoffel,birne--kartoffel,2,A
birne,essig,birne--essig,1,A
weiße_bohnen,speck,speck--weiße_bohnen,1,A
grüne_bohnen,schweineschmalz,grüne_bohnen--schweineschmalz,1,A
grüne_bohnen,schinken,grüne_bohnen--schinken,1,A
grüne_bohnen,brühe,brühe--grüne_bohnen,1,A
hering,pfeffer,hering--pfeffer,1,A
hering,ei,ei--hering,1,A
hering,milch,hering--milch,1,A
hering,butter,butter--hering,2,A
hering,lorbeer,hering--lorbeer,1,A
hering,weizenmehl,hering--weizenmehl,1,A
hering,sahne,hering--sahne,1,A
hering,zwiebel,hering--zwiebel,2,A
hering,kartoffel,hering--kartoffel,2,A
hering,muskat,hering--muskat,1,A
hering,essig,essig--hering,1,A
bratenjus,stärke,bratenjus--stärke,1,A
bratenjus,pfeffer,bratenjus--pfeffer,1,A
bratenjus,butter,bratenjus--butter,2,A
bratenjus,weizenmehl,bratenjus--weizenmehl,1,A
bratenjus,zwiebel,bratenjus--zwiebel,1,A
bratenjus,kartoffel,bratenjus--kartoffel,1,A
bratenjus,muskat,bratenjus--muskat,1,A
saure_sahne,ei,ei--saure_sahne,2,A
saure_sahne,milch,milch--saure_sahne,1,A
saure_sahne,butter,butter--saure_sahne,2,A
saure_sahne,kartoffel,kartoffel--saure_sahne,2,A
milch,speck,milch--speck,2,A
milch,schwarzwurzel,milch--schwarzwurzel,1,A
milch,schinken,milch--schinken,1,A
milch,zwieback,milch--zwieback,7,A
milch,fleischbrühe,fleischbrühe--milch,3,A
milch,schmalz,milch--schmalz,1,A
milch,gemüsegurke,gemüsegurke--milch,1,A
milch,stielmus,milch--stielmus,1,A
linsen,fleischbrühe,fleischbrühe--linsen,1,A
linsen,senf,linsen--senf,1,A
zwiebel,brühe,brühe--zwiebel,1,A
zwiebel,gelbe_erbsen,gelbe_erbsen--zwiebel,1,A
zwiebel,speck,speck--zwiebel,1,A
zwiebel,schinken,schinken--zwiebel,1,A
zwiebel,weißkohl,weißkohl--zwiebel,2,A
zwiebel,hafergrütze,hafergrütze--zwiebel,1,A
zwiebel,portulak,portulak--zwiebel,1,A
zwiebel,bratwurst,bratwurst--zwiebel,2,A
zwiebel,gänsefett,gänsefett--zwiebel,2,A
zwiebel,schweineschmalz,schweineschmalz--zwiebel,1,A
zwiebel,senf,senf--zwiebel,2,A
zwiebel,bratfett,bratfett--zwiebel,1,A
zwiebel,grünkohl,grünkohl--zwiebel,1,A
zwiebel,rindfleisch,rindfleisch--zwiebel,1,A
zwiebel,fleischbrühe,fleischbrühe--zwiebel,6,A
zwiebel,zwieback,zwieback--zwiebel,2,A
zwiebel,nierenfett,nierenfett--zwiebel,1,A
zwiebel,pinkelwurst,pinkelwurst--zwiebel,1,A
weinessig,ei,ei--weinessig,1,A
weinessig,zucker,weinessig--zucker,1,A
weinessig,butter,butter--weinessig,2,A
weinessig,weizenmehl,weinessig--weizenmehl,1,A
weinessig,kartoffel,kartoffel--weinessig,1,A
weinessig,muskat,muskat--weinessig,1,A
krebs,stärke,krebs--stärke,3,A
krebs,sahne,krebs--sahne,2,A
krebs,ei,ei--krebs,5,A
krebs,butter,butter--krebs,6,A
krebs,kartoffel,kartoffel--krebs,1,A
krebs,muskat,krebs--muskat,3,A
krebs,zucker,krebs--zucker,1,A
krebs,blumenkohl,blumenkohl--krebs,2,A
krebs,spargel,krebs--spargel,1,A
krebs,kümmel,krebs--kümmel,1,A
krebs,pfeffer,krebs--pfeffer,1,A
krebs,weizenmehl,krebs--weizenmehl,2,A
rauchfleisch,butter,butter--rauchfleisch,1,A
rauchfleisch,kartoffel,kartoffel--rauchfleisch,1,A
ottersberger_rüben,weizenmehl,ottersberger_rüben--weizenmehl,1,A
ottersberger_rüben,butter,butter--ottersberger_rüben,1,A
ottersberger_rüben,zucker,ottersberger_rüben--zucker,1,A
gelbe_erbsen,butter,butter--gelbe_erbsen,1,A
lorbeer,bratfett,bratfett--lorbeer,1,A
speck,zucker,speck--zucker,2,A
speck,muskat,muskat--speck,1,A
speck,spargel,spargel--speck,1,A
speck,pfeffer,pfeffer--speck,1,A
speck,ei,ei--speck,4,A
speck,butter,butter--speck,7,A
speck,weizenmehl,speck--weizenmehl,2,A
speck,kartoffel,kartoffel--speck,3,A
speck,sultaninen,speck--sultaninen,1,A
speck,essig,essig--speck,1,A
rotkohl,butter,butter--rotkohl,1,A
rotkohl,apfel,apfel--rotkohl,1,A
rotkohl,essig,essig--rotkohl,1,A
schwarzwurzel,butter,butter--schwarzwurzel,1,A
schwarzwurzel,muskat,muskat--schwarzwurzel,1,A
schwarzwurzel,essig,essig--schwarzwurzel,1,A
schinken,pfeffer,pfeffer--schinken,1,A
schinken,ei,ei--schinken,1,A
schinken,butter,butter--schinken,2,A
schinken,karotte,karotte--schinken,1,A
schinken,weizenmehl,schinken--weizenmehl,1,A
schinken,apfel,apfel--schinken,1,A
schinken,kartoffel,kartoffel--schinken,3,A
schinken,muskat,muskat--schinken,1,A
schinken,essig,essig--schinken,1,A
weißkohl,stärke,stärke--weißkohl,1,A
weißkohl,zucker,weißkohl--zucker,1,A
weißkohl,marone,marone--weißkohl,1,A
weißkohl,ei,ei--weißkohl,1,A
weißkohl,butter,butter--weißkohl,4,A
weißkohl,weizenmehl,weißkohl--weizenmehl,1,A
weißkohl,apfel,apfel--weißkohl,1,A
weißkohl,kartoffel,kartoffel--weißkohl,1,A
weißkohl,muskat,muskat--weißkohl,1,A
weißkohl,essig,essig--weißkohl,1,A
kapern,senf,kapern--senf,1,A
kapern,artischocke,artischocke--kapern,1,A
kapern,austern,austern--kapern,1,A
marone,gänsefett,gänsefett--marone,1,A
marone,schweineschmalz,marone--schweineschmalz,1,A
ackerbohne,butter,ackerbohne--butter,1,A
ei,spargelerbsen,ei--spargelerbsen,1,A
ei,stubenküken,ei--stubenküken,2,A
ei,artischocke,artischocke--ei,1,A
ei,portulak,ei--portulak,1,A
ei,kalbfleisch,ei--kalbfleisch,3,A
ei,senf,ei--senf,1,A
ei,austern,austern--ei,1,A
ei,rindfleisch,ei--rindfleisch,2,A
ei,hopfen,ei--hopfen,1,A
ei,fleischbrühe,ei--fleischbrühe,10,A
ei,zwieback,ei--zwieback,9,A
ei,schmalz,ei--schmalz,1,A
ei,wurzeln,ei--wurzeln,1,A
ei,nierenfett,ei--nierenfett,5,A
ei,taube,ei--taube,1,A
spargelerbsen,weizenmehl,spargelerbsen--weizenmehl,1,A
spargelerbsen,essig,essig--spargelerbsen,1,A
spargelerbsen,butter,butter--spargelerbsen,1,A
gewürz,stärke,gewürz--stärke,1,A
gewürz,pfeffer,gewürz--pfeffer,1,A
gewürz,butter,butter--gewürz,1,A
gewürz,sahne,gewürz--sahne,1,A
gewürz,kartoffel,gewürz--kartoffel,1,A
gewürz,kümmel,gewürz--kümmel,1,A
apfel,schweinsrippe,apfel--schweinsrippe,1,A
apfel,bratfett,apfel--bratfett,2,A
apfel,nelke,apfel--nelke,2,A
apfel,zwieback,apfel--zwieback,1,A
sultaninen,fleischbrühe,fleischbrühe--sultaninen,1,A
sultaninen,zwieback,sultaninen--zwieback,1,A
zucker,gänsefett,gänsefett--zucker,2,A
zucker,schweineschmalz,schweineschmalz--zucker,2,A
zucker,grünkohl,grünkohl--zucker,1,A
zucker,teltower_rüben,teltower_rüben--zucker,1,A
zucker,zwieback,zucker--zwieback,3,A
zucker,fleischbrühe,fleischbrühe--zucker,6,A
zucker,wurzeln,wurzeln--zucker,1,A
zucker,pinkelwurst,pinkelwurst--zucker,1,A
stubenküken,butter,butter--stubenküken,2,A
stubenküken,weizenmehl,stubenküken--weizenmehl,1,A
stubenküken,muskat,muskat--stubenküken,1,A
stubenküken,blumenkohl,blumenkohl--stubenküken,1,A
stubenküken,spargel,spargel--stubenküken,1,A
hecht,stärke,hecht--stärke,1,A
hecht,pfeffer,hecht--pfeffer,1,A
hecht,butter,butter--hecht,1,A
hecht,sahne,hecht--sahne,1,A
hecht,kartoffel,hecht--kartoffel,1,A
hecht,kümmel,hecht--kümmel,1,A
artischocke,butter,artischocke--butter,1,A
artischocke,weizenmehl,artischocke--weizenmehl,1,A
artischocke,muskat,artischocke--muskat,1,A
artischocke,essig,artischocke--essig,1,A
artischocke,sardelle,artischocke--sardelle,1,A
sardelle,senf,sardelle--senf,1,A
sardelle,austern,austern--sardelle,1,A
rosenkohl,zwieback,rosenkohl--zwieback,2,A
rosenkohl,fleischbrühe,fleischbrühe--rosenkohl,1,A
gemüsegurke,butter,butter--gemüsegurke,1,A
gemüsegurke,weizenmehl,gemüsegurke--weizenmehl,1,A
gemüsegurke,muskat,gemüsegurke--muskat,1,A
gemüsegurke,essig,essig--gemüsegurke,1,A
karotte,fleischbrühe,fleischbrühe--karotte,1,A
karotte,zwieback,karotte--zwieback,1,A
stielmus,butter,butter--stielmus,2,A
stielmus,sahne,sahne--stielmus,1,A
stielmus,weizenmehl,stielmus--weizenmehl,1,A
stielmus,kartoffel,kartoffel--stielmus,1,A
stielmus,muskat,muskat--stielmus,1,A
piment,gänsefett,gänsefett--piment,1,A
piment,pinkelwurst,piment--pinkelwurst,1,A
piment,schweineschmalz,piment--schweineschmalz,1,A
piment,grünkohl,grünkohl--piment,1,A
hafergrütze,butter,butter--hafergrütze,1,A
portulak,butter,butter--portulak,1,A
portulak,sahne,portulak--sahne,1,A
portulak,weizenmehl,portulak--weizenmehl,1,A
gurke,kalbfleisch,gurke--kalbfleisch,1,A
gurke,zwieback,gurke--zwieback,2,A
gurke,fleischbrühe,fleischbrühe--gurke,2,A
gurke,nierenfett,gurke--nierenfett,1,A
bratwurst,pfeffer,bratwurst--pfeffer,1,A
bratwurst,kartoffel,bratwurst--kartoffel,1,A
bratwurst,butter,bratwurst--butter,2,A
bratwurst,weizenmehl,bratwurst--weizenmehl,1,A
essig,hopfen,essig--hopfen,1,A
essig,kalbfleisch,essig--kalbfleisch,1,A
essig,zwieback,essig--zwieback,8,A
essig,fleischbrühe,essig--fleischbrühe,5,A
essig,senf,essig--senf,3,A
essig,nierenfett,essig--nierenfett,1,A
essig,bratfett,bratfett--essig,3,A
essig,gartenmelde,essig--gartenmelde,1,A
essig,nelke,essig--nelke,2,A
essig,austern,austern--essig,1,A
essig,ackerrettich,ackerrettich--essig,1,A
gänsefett,stärke,gänsefett--stärke,2,A
gänsefett,butter,butter--gänsefett,3,A
lauch,zwieback,lauch--zwieback,1,A
lauch,fleischbrühe,fleischbrühe--lauch,1,A
kalbfleisch,stärke,kalbfleisch--stärke,2,A
kalbfleisch,butter,butter--kalbfleisch,3,A
kalbfleisch,muskat,kalbfleisch--muskat,3,A
schweineschmalz,stärke,schweineschmalz--stärke,4,A
schweineschmalz,sahne,sahne--schweineschmalz,1,A
schweineschmalz,kümmel,kümmel--schweineschmalz,2,A
schweineschmalz,pfeffer,pfeffer--schweineschmalz,2,A
schweineschmalz,butter,butter--schweineschmalz,8,A
schweineschmalz,kartoffel,kartoffel--schweineschmalz,7,A
butter,senf,butter--senf,3,A
butter,bratfett,bratfett--butter,3,A
butter,gartenmelde,butter--gartenmelde,1,A
butter,nelke,butter--nelke,2,A
butter,austern,austern--butter,1,A
butter,grünkohl,butter--grünkohl,1,A
butter,rindfleisch,butter--rindfleisch,3,A
butter,mairüben,butter--mairüben,1,A
butter,teltower_rüben,butter--teltower_rüben,1,A
butter,hopfen,butter--hopfen,1,A
butter,zwieback,butter--zwieback,23,A
butter,fleischbrühe,butter--fleischbrühe,29,A
butter,endivien,butter--endivien,2,A
butter,schmalz,butter--schmalz,1,A
butter,wurzeln,butter--wurzeln,1,A
butter,nierenfett,butter--nierenfett,5,A
butter,pinkelwurst,butter--pinkelwurst,1,A
butter,beeren,beeren--butter,1,A
butter,taube,butter--taube,1,A
butter,ente,butter--ente,1,A
butter,brühe,brühe--butter,5,A
butter,ackerrettich,ackerrettich--butter,1,A
senf,weizenmehl,senf--weizenmehl,3,A
senf,kartoffel,kartoffel--senf,1,A
senf,muskat,muskat--senf,1,A
schweinsrippe,kartoffel,kartoffel--schweinsrippe,1,A
bratfett,pfeffer,bratfett--pfeffer,1,A
bratfett,kartoffel,bratfett--kartoffel,1,A
spinat,zwieback,spinat--zwieback,1,A
spinat,fleischbrühe,fleischbrühe--spinat,1,A
gartenmelde,muskat,gartenmelde--muskat,1,A
spargel,rindfleisch,rindfleisch--spargel,1,A
spargel,zwieback,spargel--zwieback,3,A
spargel,fleischbrühe,fleischbrühe--spargel,2,A
spargel,nierenfett,nierenfett--spargel,1,A
spargel,taube,spargel--taube,1,A
kümmel,zwieback,kümmel--zwieback,1,A
kümmel,beeren,beeren--kümmel,1,A
kümmel,brühe,brühe--kümmel,2,A
pfeffer,brühe,brühe--pfeffer,2,A
pfeffer,fleischbrühe,fleischbrühe--pfeffer,1,A
pfeffer,zwieback,pfeffer--zwieback,1,A
pfeffer,beeren,beeren--pfeffer,1,A
hefe,zwieback,hefe--zwieback,1,A
austern,weizenmehl,austern--weizenmehl,1,A
austern,muskat,austern--muskat,1,A
weizenmehl,rindfleisch,rindfleisch--weizenmehl,2,A
weizenmehl,teltower_rüben,teltower_rüben--weizenmehl,1,A
weizenmehl,hopfen,hopfen--weizenmehl,1,A
weizenmehl,zwieback,weizenmehl--zwieback,4,A
weizenmehl,fleischbrühe,fleischbrühe--weizenmehl,12,A
weizenmehl,wurzeln,weizenmehl--wurzeln,1,A
weizenmehl,nierenfett,nierenfett--weizenmehl,2,A
weizenmehl,taube,taube--weizenmehl,1,A
grünkohl,stärke,grünkohl--stärke,1,A
rindfleisch,blumenkohl,blumenkohl--rindfleisch,1,A
rindfleisch,kartoffel,kartoffel--rindfleisch,2,A
rindfleisch,muskat,muskat--rindfleisch,2,A
stärke,mairüben,mairüben--stärke,1,A
stärke,fleischbrühe,fleischbrühe--stärke,6,A
stärke,zwieback,stärke--zwieback,2,A
stärke,nierenfett,nierenfett--stärke,2,A
stärke,pinkelwurst,pinkelwurst--stärke,1,A
stärke,beeren,beeren--stärke,1,A
stärke,brühe,brühe--stärke,2,A
mairüben,kartoffel,kartoffel--mairüben,1,A
mairüben,muskat,mairüben--muskat,1,A
hopfen,muskat,hopfen--muskat,1,A
sahne,zwieback,sahne--zwieback,3,A
sahne,fleischbrühe,fleischbrühe--sahne,3,A
sahne,beeren,beeren--sahne,1,A
sahne,brühe,brühe--sahne,1,A
fleischbrühe,kartoffel,fleischbrühe--kartoffel,4,A
fleischbrühe,muskat,fleischbrühe--muskat,22,A
fleischbrühe,blumenkohl,blumenkohl--fleischbrühe,1,A
fleischbrühe,champignon,champignon--fleischbrühe,1,A
zwieback,kartoffel,kartoffel--zwieback,6,A
zwieback,muskat,muskat--zwieback,19,A
zwieback,champignon,champignon--zwieback,1,A
zwieback,brot,brot--zwieback,1,A
schweinefleisch,kartoffel,kartoffel--schweinefleisch,1,A
kartoffel,schmalz,kartoffel--schmalz,1,A
kartoffel,beeren,beeren--kartoffel,1,A
kartoffel,butterkohl,butterkohl--kartoffel,1,A
kartoffel,brühe,brühe--kartoffel,4,A
muskat,endivien,endivien--muskat,2,A
muskat,wurzeln,muskat--wurzeln,1,A
muskat,nierenfett,muskat--nierenfett,5,A
muskat,taube,muskat--taube,1,A
muskat,ackerrettich,ackerrettich--muskat,1,A
nierenfett,blumenkohl,blumenkohl--nierenfett,1,A
blumenkohl,taube,blumenkohl--taube,1,A
B_e_pure
blutorangen,nudeln,blutorangen--nudeln,1,B
blutorangen,ahornsirup,ahornsirup--blutorangen,1,B
blutorangen,koriander,blutorangen--koriander,1,B
blutorangen,schalotten,blutorangen--schalotten,1,B
blutorangen,chilischote,blutorangen--chilischote,1,B
blutorangen,sesam,blutorangen--sesam,1,B
blutorangen,koriandergrün,blutorangen--koriandergrün,1,B
blutorangen,knoblauch,blutorangen--knoblauch,1,B
blutorangen,thaibasilikum,blutorangen--thaibasilikum,1,B
blutorangen,tamarinde,blutorangen--tamarinde,1,B
blutorangen,lauchzwiebel,blutorangen--lauchzwiebel,1,B
blutorangen,chiliflocken,blutorangen--chiliflocken,1,B
blutorangen,fischsauce,blutorangen--fischsauce,1,B
